@RELATION names

@ATTRIBUTE  containsVon  { true, false }
@ATTRIBUTE  endsWithX  { true, false }
@ATTRIBUTE  containsSpace  { true, false }
@ATTRIBUTE  consonantToVowelRatio  real
@ATTRIBUTE  numberOfVs  real
@ATTRIBUTE  VowelToConsonantSwitches  real
@ATTRIBUTE  containsVon  { true, false }
@ATTRIBUTE  nameLength  real
@ATTRIBUTE  numberOfXs  real
@ATTRIBUTE  containsVon  { true, false }
@ATTRIBUTE  threeConsonantsInRow  { true, false }
@ATTRIBUTE  threeVowelsInRow  { true, false }
@ATTRIBUTE  startsWithVowel  { true, false }
@ATTRIBUTE  containsAppost  { true, false }
@ATTRIBUTE  country { Swedish,Russian,French,Japanese }

@DATA

false,false,false,1.5,0.0,0.75,false,5,0.0,false,false,false,false,false,Swedish
false,false,false,8.0,0.0,0.25,false,9,0.0,false,true,false,false,false,Swedish
false,false,false,3.0,0.0,0.5714285714285714,false,8,0.0,false,true,false,false,false,Swedish
false,false,false,2.0,0.0,0.5,false,9,0.0,false,true,false,false,false,Swedish
false,false,false,1.5,0.0,1.0,false,5,0.0,false,false,false,false,false,Swedish
false,false,false,2.0,0.0,0.5,false,9,0.0,false,true,false,false,false,Swedish
false,false,false,2.0,0.0,0.8,false,6,0.0,false,false,false,false,false,Swedish
false,false,false,2.0,0.0,0.8,false,6,0.0,false,false,false,false,false,Swedish
false,false,false,1.25,1.0,0.625,false,9,0.0,false,false,false,true,false,Swedish
false,false,false,1.0,0.0,0.6666666666666666,false,4,0.0,false,false,false,false,false,Swedish
false,false,false,6.0,0.0,0.3333333333333333,true,7,0.0,false,true,false,false,false,Swedish
false,false,false,2.5,0.0,0.6666666666666666,false,7,0.0,false,false,false,false,false,Swedish
false,false,false,3.0,0.0,0.5714285714285714,true,8,0.0,false,true,false,false,false,Swedish
false,false,false,2.0,0.0,0.75,true,9,0.0,false,false,false,false,false,Swedish
false,false,false,2.0,0.0,0.8,false,6,0.0,false,false,false,false,false,Swedish
false,false,false,2.5,0.0,0.6666666666666666,false,7,0.0,false,false,false,false,false,Swedish
false,false,false,1.5,1.0,1.0,false,5,0.0,false,false,false,false,false,Swedish
false,false,false,1.6666666666666667,1.0,0.8571428571428571,false,8,0.0,false,false,false,false,false,Swedish
false,false,false,5.0,0.0,0.4,false,6,0.0,false,true,false,false,false,Swedish
false,false,false,2.0,0.0,0.5,false,3,0.0,false,false,false,true,false,Swedish
false,false,false,3.0,0.0,0.6666666666666666,false,4,0.0,false,false,false,false,false,Swedish
false,false,false,7.0,0.0,0.14285714285714285,false,8,0.0,false,true,false,true,false,Swedish
false,false,false,2.0,0.0,0.5,false,3,0.0,false,false,false,true,false,Swedish
false,false,false,2.5,0.0,0.6666666666666666,false,7,0.0,false,true,false,false,false,Swedish
false,false,false,2.5,0.0,0.6666666666666666,false,7,0.0,false,true,false,false,false,Swedish
false,false,false,2.0,0.0,0.6,false,6,0.0,false,true,false,true,false,Swedish
false,false,false,2.5,0.0,0.6666666666666666,true,7,0.0,false,true,false,false,false,Swedish
false,false,false,2.0,0.0,0.75,true,9,0.0,false,false,false,false,false,Swedish
false,false,false,3.0,1.0,0.5714285714285714,true,8,0.0,false,true,false,false,false,Swedish
false,false,false,2.0,0.0,0.75,true,9,0.0,false,true,false,false,false,Swedish
false,false,false,2.0,0.0,0.5,false,9,0.0,false,true,false,false,false,Swedish
false,false,false,1.0,0.0,0.6666666666666666,false,4,0.0,false,false,false,true,false,Swedish
false,false,false,3.0,0.0,0.5714285714285714,false,8,0.0,false,true,false,false,false,Swedish
false,false,false,1.6666666666666667,0.0,0.7142857142857143,false,8,0.0,false,false,false,true,false,Swedish
false,false,false,2.0,0.0,0.8,false,6,0.0,false,false,false,false,false,Swedish
